smiles,ic50,glide_ROCK2_6ED6,glide_ROCK2_6ED6_3f,glide_ROCK2_4WOT,vina_ROCK2_6ED6,vina_ROCK2_6ED6_3f,vina_ROCK2_4WOT,cluster
COc1cc(C(=O)N2CCCC2c2cccc(O)c2)ccc1-c1cn[nH]c1,2.74,-8.51032,-9.19139,-8.71804,-12.578,-12.895,-12.197,5
COc1cc(C(=O)N2CCCC2c2cccc(OC3CCN(C)CC3)c2)ccc1-c1cn[nH]c1,1390.0,-8.97415,-8.54602,-10.5584,-14.819,-15.049,-14.218,5
COc1cc(C(=O)N2CCCC2c2cccc(OCC(F)F)c2)ccc1-c1cn[nH]c1,411.0,-10.2313,-9.84195,-7.32549,-12.039,-14.441,-13.307,5
COc1cc(C(=O)N2CCCC2c2ccc(F)cc2)ccc1-c1cn[nH]c1,41.4,-8.81974,-9.94419,-9.04148,-12.325,-11.957,-12.474,5
COc1cc(C(=O)N2CCCC2Cc2ccccc2)ccc1-c1cn[nH]c1,183.0,-8.80339,-8.96467,-10.1614,-11.788,-13.119,-11.787,5
COc1cc(C(=O)N2CCCCC2c2ccccc2F)ccc1-c1cn[nH]c1,85.8,-8.71669,-8.72833,-9.23321,-12.909,-13.101,-12.012,5
COc1cc(C(=O)N2CCCC(c3ccccc3)C2)ccc1-c1cn[nH]c1,1430.0,-9.0689,-8.65098,-7.24867,-12.128,-12.195,-12.457,5
COc1cc(C(=O)N2CCCCC2c2ccccc2)ccc1-c1cn[nH]c1,789.0,-7.24378,-7.57139,-7.71778,-12.136,-11.453,-12.028,5
COc1cc(C(=O)N2CCC[C@@H]2c2cccc(C(=O)NC3CC3)c2)ccc1-c1cn[nH]c1,4.59,-10.1494,-9.31967,-8.84075,-14.732,-14.126,-14.524,5
COc1cc(C(=O)N2CCC[C@@H]2c2cccc(C(=O)NCC(C)(C)O)c2)ccc1-c1cn[nH]c1,4.52,-8.66122,-9.56044,-9.68736,-15.628,-15.782,-13.966,5
COc1cc(C(=O)N2CCC[C@@H]2c2cccc(C(=O)N(C)C)c2)ccc1-c1cn[nH]c1,725.0,-6.10938,-9.31185,-8.30884,-13.237,-12.244,-12.704,5
COc1cc(C(=O)N2CCC[C@@H]2c2cccc(C(=O)O)c2)ccc1-c1cn[nH]c1,151.0,-8.6175,-9.57025,-9.54263,-13.084,-12.673,-12.954,5
COc1cc(C(=O)N2CCC[C@@H]2c2cccc(S(C)(=O)=O)c2)ccc1-c1cn[nH]c1,11.6,-8.14794,-9.33458,-8.60518,-13.638,-11.964,-13.151,5
